한국어 단어,English Word,汉语单词,汉语拼音,Image
메다,shoulder; carry on one's shoulder,背，扛,bèi，káng,
벗다,take off,脱下，摘下,tuōxià，zhāixià,
옷,clothes; garment,衣服，衣裳，服装,yīfú，yīshang，fúzhuāng,
쓰다,wear; put on,戴,dài,
갈아입다,change one's clothes,换，换穿,huàn，huànchuān,
가방,bag,包，背包，提包,bāo，bēibāo，tíbāo,
화려하다,colorful; flashy; splendid,华丽,huálì,
모자,hat,帽子,màozi,
유행,outbreak,流行,liúxíng,
구두,shoes,皮鞋,píxié,
안경,glasses; spectacles,眼镜,yǎnjìng,
주머니,pouch,口袋，袋子,kǒudài，dàizi,
신다,put on; wear,穿,chuān,
색깔,color; hue; tint,颜色，色彩,yánsè，sècǎi,
우산,umbrella; parasol,雨伞,yǔsǎn,
차다,wear,系，挎，扣，戴，佩戴,xì，kuà，kòu，dài，pèidài,
벌,beol,件,jiàn,
신발,shoes; footwear,鞋,xié,
멋,stylishness; being fashionable; being chic,风姿，风度，气质,fēngzī，fēngdù，qìzhì,
반지,ring,戒指,jièzhǐ,
귀걸이,earrings,耳环，耳坠,ěrhuán，ěrzhuì,
목걸이,necklace,项链,xiàngliàn,
지갑,wallet; purse,钱包，钱夹，钱袋,qiánbāo，qiánjiā，qiándài,
장갑,glove,手套,shǒutào,
목도리,scarf,围巾,wéijīn,
티셔츠,T-shirt,T恤,Txù,
한복,hanbok,韩服,hánfú,
바지,pants,裤子,kùzi,
넥타이,necktie,领带，领结,lǐngdài，lǐngjié,
단추,button,扣子，纽扣,kòuzi，niǔkòu,
양복,suit,西装,xīzhuāng,
치마,skirt,裙，裙子,qún，qúnzi,
양말,sock,袜子,wàzi,
청바지,jeans,牛仔裤,niúzǎikù,
스웨터,sweater,毛衣,máoyī,
켤레,pair,双,shuāng,
와이셔츠,dress shirt,衬衣，衬衫,chènyī，chènshān,
속옷,underwear,内衣,nèiyī,
운동화,running shoes; sneakers,运动鞋,yùndòngxié,
사이즈,size; measurement,尺寸，号，尺码,chǐcùn，hào，chǐmǎ,
스카프,scarf,围巾,wéijīn,
손수건,handkerchief,手帕，手绢,shǒupà，shǒujuàn,
세탁소,laundry,洗衣店,xǐyīdiàn,
블라우스,blouse,雪纺衫,xuěfǎngshān,
원피스,one-piece dress,连衣裙,liányīqún,
수영복,swimsuit; bathing suit,泳衣，泳装,yǒngyī，yǒngzhuāng,
반바지,short pants; shorts,短裤,duǎnkù,
운동복,sportswear; sweat suit,运动服,yùndòngfú,
실례,rudeness; impoliteness,失礼,shīlǐ,
죄송하다,sorry,抱歉，愧疚,bàoqiàn，kuìjiù,
실수,mistake; blunder,失手，失误,shīshǒu，shīwù,
미안,being sorry,抱歉，愧疚，不好意思，过意不去,bàoqiàn，kuìjiù，bùhǎoyìsī，guòyìbùqù,
정말,fact,真的，事实，真话,zhēnde，shìshí，zhēnhuà,
정말,really,真的,zhēnde,
거절,refusal; rejection; denial,拒绝，谢绝,jùjué，xièjué,
게으르다,lazy,懒，懒惰,lǎn，lǎnduò,
급하다,urgent,急,jí,
착하다,kind; generous,善良,shànliáng,
부지런하다,diligent; industrious,勤奋，勤快，勤勉，勤恳,qínfèn，qínkuài，qínmiǎn，qínkěn,
성격,personality; character,性格,xìnggé,
훌륭하다,great; excellent; outstanding,优秀，卓越,yōuxiù，zhuóyuè,
똑똑하다,definite; explicit; well-defined,清晰，清楚,qīngxī，qīngchǔ,
능력,ability; capability; competence,能力，才能,nénglì，cáinéng,
부드럽다,soft; smooth,柔软,róuruǎn,
자랑,boast; brag; showing off,炫耀，夸耀,xuànyào，kuāyào,
친절,kindness; hospitality,亲切，关切，热情,qīnqiè，guānqiè，rèqíng,
조심,caution; carefulness,小心，谨慎，留心,xiǎoxīn，jǐnshèn，liúxīn,
모시다,serve; attend; wait on,伺候，照顾，赡养,cìhòu，zhàogù，shànyǎng,
나,I,我,wǒ,
자식,child; kid,子女,zǐnǚ,
