한국어 단어,English Word,汉语单词,汉语拼音,Image
체하다,have an upset stomach,积食，滞食，伤食,jīshí，zhìshí，shāngshí,
앓다,be sick; suffer,患，得，病,huàn，dé，bìng,
수면,sleep,睡眠,shuìmián,
턱,chin,下巴，下颌,xiàbā，xiàhé,
구부리다,bend; curve,弯曲,wānqū,
육체,body,肉体,ròutǐ,
쓰러지다,fall; collapse,倒下,dǎoxià,
숨소리,sound of breathing,喘气声，呼吸声，气息,chuǎnqìshēng，hūxīshēng，qìxī,
손톱,nail (on hands),指甲,zhǐjiǎ,
처방,prescription,处方,chǔfāng,
신체,body,身体,shēntǐ,
체력,physical strength,体力,tǐlì,
눈감다,die / pass away,闭眼，去世,bìyǎn，qùshì,
부작용,side effect; byproduct,副作用，负面效果，消极影响,fùzuòyòng，fùmiànxiàoguǒ，xiāojíyǐngxiǎng,
팔꿈치,elbow,胳膊肘,gēbózhǒu,
증상,symptom,病情，症状,bìngqíng，zhèngzhuàng,
소변,urine,小便,xiǎobiàn,
몸무게,weight,体重,tǐzhòng,
온몸,whole body,全身,quánshēn,
토하다,vomit; throw up,呕吐,ǒutù,
허벅지,thigh,大腿，大腿内侧,dàtuǐ，dàtuǐnèicè,
체중,weight,体重,tǐzhòng,
몸매,body figure; body shape,身材，身姿,shēncái，shēnzī,
금연,nonsmoking,禁烟,jìnyān,
코피,nosebleed,鼻血,bíxuè,
눈가,eye rim,眼角，眼眶,yǎnjiǎo，yǎnkuàng,
힘없이,weakly; feebly,乏力地，没劲儿地,fálìdì，méijìn'érdì,
발톱,toenail,趾甲 ，脚趾甲,zhǐjiǎ ，jiǎozhǐjiǎ,
알레르기,allergy,过敏,guòmǐn,
졸음,drowsiness,困意，睡意,kùnyì，shuìyì,
털,hair; feather,毛，毛发,máo，máofà,
하품,yawn,哈欠，呵欠,hāqiàn，hēqiàn,
비만,obesity; fatness,肥胖,féipàng,
오른발,right foot,右脚,yòujiǎo,
손목,wrist,手腕,shǒuwàn,
손등,back of one's hand,手背,shǒubèi,
멍,bruise; black and blue,青块，淤青,qīngkuài，yūqīng,
회복,recovery; revitalization; getting better,恢复，康复，复原,huīfù，kāngfù，fùyuán,
왼발,left foot,左脚,zuǒjiǎo,
암,cancer; tumor,癌症,áizhèng,
처방전,prescription,药方,yàofāng,
영양제,nutritional supplements,营养补充剂,yíngyǎngbǔchōngjì,
쑤시다,ache,刺痛，酸痛,cìtòng，suāntòng,
통증,pain; ache,疼痛,téngtòng,
육체적,being physical,肉体的,ròutǐde,
부위,region,部位,bùwèi,
젊음,youth,年轻，青春,niánqīng，qīngchūn,
독감,flu; influenza,流感,liúgǎn,
육체적,physical,肉体的,ròutǐde,
진찰,checkup; examination,诊察,zhěnchá,
설사,diarrhea,腹泻，拉肚子，稀屎,fùxiè，lādǔzi，xīshǐ,
과로,overwork,过劳，疲劳过度,guòláo，píláoguòdù,
눈병,eye disease,眼疾,yǎnjí,
병들다,fall ill; become sick,生病,shēngbìng,
신체적,being physical,身体的，身体上的,shēntǐde，shēntǐshàngde,
지방 (음식/몸)fat,脂肪,zhīfáng,
약품,medicine; drug,药品，药剂，药物,yàopǐn，yàojì，yàowù,
진단,diagnosis,诊断,zhěnduàn,
몸속,inside the body,体内,tǐnèi,
변비,constipation,便秘,biànmì,
증세,symptom,病情，症状,bìngqíng，zhèngzhuàng,
신체적,physical,身体的，身体上的,shēntǐde，shēntǐshàngde,
문병,visiting a sick person,探病,tànbìng,
과식,overeating,暴食，吃得过多,bàoshí，chīdéguòduō,
식중독,food poisoning,食物中毒,shíwùzhòngdú,
체온,body temperature,体温,tǐwēn,
인체,human body,人体,réntǐ,
말기,end,末期,mòqī,
소독약,disinfectant,消毒药,xiāodúyào,
쉬다 (맑게 않은 숨),be hoarse,哑,yǎ,
이비인후과,otorhinolaryngology; department of otorhinolaryngology,耳鼻咽喉科,ěrbíyānhóukē,
장수,longevity,长寿,chángshòu,
